Name,category,Specials,Description,HP,To Target,Armor V,STR,DEX,INT,PRE,statblock
Elf Leader,Humanoid,"Darkvision, Spells: Rose Binding, Cure Serious Wounds, Detect Foes, Charm",Leads a band of elves. Uses magic.,13,-,2,4,4,4,5,4/4/4/5
Fishman,Humanoid,Amphibious,Bipedal. Fish head. Amphibious. Very religious. Emotionally flat.,7,-,1,3,3,3,3,3/3/3/3
Fishman Bishop,Humanoid,"Amphibious, Special Psychic Attack","Fishman religious zealot. Psychic focus on enemy causes drowning: lungs fill, water pours from mouth. Breaking focus ends effect.",49,-,1,4,4,3,5,4/4/3/5
Gnoll,Humanoid,,Bipedal hyena/jackal creatures. Usually armed with swords & spears. Many wear armor. Guerrulous and greedy. ,11,-,0,5,4,2,2,5/4/2/2
Gnoll Alpha,Humanoid,,"A bigger, tougher Gnoll.",25,-,0,6,5,2,3,6/5/2/3
Goblin,Humanoid,"Night Vision, Stealthy","3.5m tall, smooth-skinned bipeds.They come in a variety of dark colors: blue, green, grey. Evil. Armed with bows and short swords. May wear light armor.",4,Hard,0,3,5,3,2,3/5/3/2
Goblin Boss,Humanoid,"Night Vision, Stealthy",Smarter goblin. Leads a group of 1d6+6 goblins.,11,Hard,0,4,5,3,3,4/5/3/3
Hobgoblin,Humanoid,,"Cousins to the goblins, but hulking and hairy with big teeth. Typically fight with spears.",8,-,0,5,4,3,3,5/4/3/3
Hobgoblin Captain,Humanoid,,Head of a group of 1d6+3 hobgoblins.,20,-,0,5,5,4,3,5/5/4/3
Hobgoblin Warlord,Humanoid,,"Leads an army of 1d6 Hobgoblin Captains, each with their own group of hobgoblin fighters.",49,-,0,6,5,4,4,6/5/4/4
Lizardfolk,Humanoid,"Hold Breath, Chameleon Skin",Semi-aquatic bipedal lizard folk. Shallow emotions. Territorial and warlike. Spears & Swords.,11,-,0,5,4,2,3,5/4/2/3
Lizardfolk King/Queen,Humanoid,"Hold Breath, Chameleon Skin, Spells: Fireball, Suffer",Lizardfolk Leader.,39,-,0,6,4,3,4,6/4/3/4
Lizardfolk Shaman,Humanoid,"Hold Breath, Chameleon Skin, Spells: Push, Pull, Cure Light Wounds, Arrow (L2)",Fighting clerics of the lizarfolk.,14,-,0,5,4,3,3,5/4/3/3
Merfolk,Humanoid,Amphibious,Mermaids and Mermen. Fight with Tridents.,6,-,0,4,5,3,3,4/5/3/3
Mole Man,Humanoid,"Burrower, Night Vision","Denizens of a huge, subterranean civilization. ",3,-,0,4,3,3,3,4/3/3/3
Mole Man - Foreman,Humanoid,"Burrower, Night Vision",Oversees team of mole men diggers.,9,-,0,5,4,3,3,5/4/3/3
MushroomMan Adult,Humanoid,,Bipedal fungi. They completely ignore other creatures unless confronted or attacked. Expansionist. Will silently come to claim territory by simly moving in.,11,-,0,4,4,3,3,4/4/3/3
MushroomMan Sovereign,Humanoid,,A really big MushroomMan. All attacks 1d6+3 damage.,30,Easy,0,4,4,3,5,4/4/3/5
MushroomMan Sprout,Humanoid,,Will begin to spring up where mushroomMen have moved in. Smaller. All attacks 1d6-2 damage (min. 1).,4,Hard,0,3,4,2,2,3/4/2/2
Orc,Humanoid,,"Piglike, muscular bipeds. Heavily armed and armored. Raiders and thieves.",8,-,0,6,4,2,3,6/4/2/3
Orc War Chief,Humanoid,,Leads a group of 1d6+4 orcs.,47,-,0,6,4,3,4,6/4/3/4
Troglodyte,Humanoid,"Chameleon Skin, Repulsive Spray","Underground cousins to Lizardfolk. Sworn enemies of Molemen. Very sneaky, and good at blending into the shadows. Very bad smelling.",7,-,0,5,4,2,2,5/4/2/2
Apeman,Monster,,"Travel in groups. Carnivorous and cannibalistic. Constant fight amongst themselves for control. Wear skins and fight with rocks, clubs, and stick spears.",12,-,0,6,4,1,3,6/4/1/3
Basilisk,Monster,Spell: Petrify,"Giant Lizard, 2 times per day may cast Petrify by staring at target. Target is allowed Opposed Test of PRE to avoid petrification. Opponents suffer Disadvantage on relevant rolls while avioding the gaze of the basilisk.",26,-,2,6,3,0,2,6/3/0/2
Black Pudding,Monster,,"Large, single-celled pudding. Digests anything it touches except stone. Any time a weapon hits a black pudding, if the Danger Die shows a 1, the weapon corrodes to nothing. Similarly, on successful attacks, the pudding will destroy target's armor on Danger Die 1. Immune to  slashing weapons, cold, and electricity, and acid.",43,Easy,0,6,2,0,1,6/2/0/1
Centaur,Monster,,"Human torso, horse body and legs. Will fight with swords, spears, or bows.",23,Easy,0,6,5,3,4,6/5/3/4
Cyclops,Monster,,One-eyed giants. Unintelligent. Attack with clubs an thrown rocks for 2d6 damage. ,69,Easy,1,8,4,1,2,8/4/1/2
Doppelganger,Monster,"Shapeshift-People, Spell: Read Mind","Shapeshifter. Will assume the appearance of another person, including clothing, then try to kill them and take their place. Able to cast Read Mind spell.",26,-,0,4,6,4,5,4/6/4/5
Dragon,Monster,Breath Weapon,"Classic Dragon. Has wings and can fly. Able to make two attacks per turn: bite, claw, or breath. Able to use breath attack 3 times per combat. All attacks do 2d6 damage. Color determines breath weapon type: Red - Fire, White - Frost, Green - Poisonous Gas, Black - Acid Cloud, Gold - Lightning. HP: lower value is for jeuvenile, higher is for adult. Adult dragons will know two of the following spells: Fear, Truth, Confuse, Cure Serious Wounds, Invisibility, Read Mind.",75/128,Easy,2,9,4,4,5,9/4/4/5
Dragon Turtle,Monster,Breath Weapon: Steam,An aquatic dragon with a shell. As big as a ship. All attacks do 3d6 damage. Breathes steam jet.,171,Easy,3,9,4,3,4,9/4/3/4
Gargoyle,Monster,,"Flying, horned monster. Claw and bite attacks. When still, they are indestinguishable from a statue. ",26,-,2,5,4,2,3,5/4/2/3
Gelatinous Cube,Monster,,"Slowly moving cube of clear jello, up to 3m tall. Scaveners that sweep dungeons clean, sweeping up everything, digesting organic material. Often cantain non-organic items, such as treasure, weapons, and armor. Hits do digestive damage to their target. On a successful hit with Danger Die showing 1 or 2, victim is also paralyzed for 1-3 turns. Immune to cold, electricity, sleap, paralyzation, and fear.",42,Easy,0,5,1,0,1,5/1/0/1
Genie - Djinni & Efreeti,Monster,"Flight, Shape Shift - sze, animal, people, Spell: Wisp, Special Ability: able to grant 3 wishes","Enormously strong, shape shifting spirits. Efreeti are related to the djinni, but even more malevolent. A trapped djinni or efreeti, once released, must be a servant for 100 days or grant three wishes to fully gain its freedom.",80,,0,7,5,5,5,7/5/5/5
Giant - High,Monster,Spell: Earthquake,10m tall. Dress in fine robes and jewelry. Highly cultured. Fight with huge sword or spear. May also stamp on target. All attacks do 3d6 damage. May cast Earthquake once per day.,100,Easy,0,9,4,5,5,9/4/5/5
Giant - Low,Monster,,"4m tall. Dresses in skins. Uses a huge club, or throws boulders. All attacks do 2d6 damage. Greedy and unintelligent.",53,Easy,0,7,3,1,2,7/3/1/2
Gnomillian,Monster,Spell: Invisibility,"Tough, mean little guys with pointed hats. 50cm tall. Fight with little swords. Lusty for treasure.",8,Hard,0,5,5,3,3,5/5/3/3
Gray Ooze,Monster,,Slime monster. Lookes like wet stone (DISADVANTAGE to detect). Touch will corrode metal armor and weapons. Damaged by fire and all weapon attacks.,11,-,0,4,2,0,1,4/2/0/1
Griffon,Monster,,"Head and front claws of an eagle, body of a lion. Can fly.",30,Easy,0,6,5,0,3,6/5/0/3
Hag - Night,Monster,,,56,-,0,6,5,5,6,6/5/5/6
Harpy,Monster,,"Body of an eagle, torso and head of a human. Anyone hearing their song must pass a PRE check or be drawn passively to them to be eaten. Often found in groups of 2-4.",19,-,0,4,5,2,3,4/5/2/3
Hell Hound,Monster,,"Enormous midnight black dogs with red eyes, teeth and mouths. Might be sent by demons or other dark forces. May appear in packs. Relentless. Bite causes physical and electrical damage.",23,-,0,6,4,2,3,6/4/2/3
Huay Chivo,Monster,Shapeshift - Animal,"A nagual who went fully feral. Half human, half goat, dog, or deer. Burning red eyes. Fast and frenzied. Will harass livestock and suck the blood of any animal or human.",25,Hard,0,6,5,0,3,6/5/0/3
Hydra,Monster,Breath Weapon: Fire,A dragon with 9 heads. All attacks do 2d6 damage. Every HP of damage the the hydra will kill one of the heads. Able to breathe fire 3 times per day.,90,Easy,0,7,4,0,2,7/4/0/2
Kobold,Monster,,"1m tall, scaly bipeds with horns. Fight with short swords or spears.",3,Hard,0,3,5,2,2,3/5/2/2
Kobold - Winged,Monster,,"Like a regular Kobold, but able to fly.",4,Hard,0,3,6,2,2,3/6/2/2
Kraken,Monster,,Titanic tentacled sea monster. Able to grab ships. 2 attacks per turn. All attacks do 5d6 damage.,236,Easy,0,10,4,7,6,10/4/7/6
Lava Monster,Monster,Spell: Fireball,"3m tall, made of lava. Attacks with big slap or fireballs. Immune to fire damage. Double damage from cold attacks. Submersion in water will turn them to stone.",12,-,2,6,2,0,1,6/2/0/1
Lycanthrope - Beast Form,Monster,"Shapeshift - Animal, Regeneration","Werewolf, Werebear, Wererat, Weretiger. Transforms into half human/half animal. Regenerates 1d6 HP per turn, even after death, unless damaged by silver weapons, magic, or magical weapons. On successful attack, if danger die shows a 1, victim contracts lycanthropy. PCs who become lycanthropes must make a PRE check after every transformation.  Failure means they have no control over their actions and will attack anyone who it near.",35,-,0,7,4,3,4,7/4/3/4
Medusa,Monster,"Poisonous (Bite), Spell: Petrify","Humanoid with snakes for hair. Can attack with claws, bit or snakes. Anyone looking directly at a gorgon is immidiately struck with a Petrify spell. Action against gorgon with eyes averted is always at disadvantage.",64,-,0,4,5,4,4,4/5/4/4
Minotaur,Monster,,A huge guy with a bull's head. Armed with a battle axe 1d6+2 damage. Charge attack does 2d6 damage.,38,Easy,0,6,4,1,4,6/4/1/4
Naga,Monster,"Poisonous (Bite), Constrictor",Huge snake with human torso. Armed with tridents or swords.,40,-,-,5,5,3,4,5/5/3/4
Nagual,Monster,"Shapeshift - Animal, Spells: any 2 level 1","Brujo who can change form at night: jaguar, dog, owl, bat, wolf, or turkey. They drink human blood, cause disease, steal stuff, and eat children.",20,-,0,4,4,3,3,4/4/3/3
Ochre Jelly,Monster,,"A yellow, oozing jelly. Successful hit disolves the flesh of the target for one extra turn of damage. Only damaged by fire and cold attacks. Slashing and electrical attacks will divide the it into 1-6 smaller oozes, dividing remaining HP amongst them. ",23,Easy,0,5,2,0,1,5/2/0/1
Ogre,Monster,,"Huge, ugly beast. Long teeth. May use a huge club. All attacks do 2d6 damage.",30,Easy,0,7,3,1,2,7/3/1/2
Oni,Monster,"Breath Weapon: Cold, Spells: Charm (L1), Sleep (L2)","Bigger, smarter ogres with blue or green skin. Oni use fancier weapons than regular ogres. All attacks do 2d6 damage. Oni have Breath Weapon: Cold, and can cast Charm and Sleep once per combat.",55,Easy,0,7,4,4,4,7/4/4/4
Pegasus,Monster,Wings,A flying horse.,30,Easy,0,6,5,3,4,6/5/3/4
Pixie,Monster,"Invisibility, Wings","Tiny little humanoid with wings. If they attack, they always surprise their target.",1,Hard,0,1,7,3,4,1/7/3/4
Pseudodragon,Monster,Telepathy,"Tiny dragon. No breath weapon. Tameable. Flies. Able to understand human speech, but cannot talk. Can communicate telepathically, but only simple concepts.",4,Hard,0,2,5,1,3,2/5/1/3
Quetzoquatl,Monster,"Wings, Constrictor","Flying, feathered snake. Constictor. Danger die 1 means bitten, held, and crushed for 2d6. Opposed STR check to break free.",30,Easy,2,5,4,2,3,5/4/2/3
Roc,Monster,,An enormous bird of prey. 30m wingspan. Two attacks per turn: claws and beak. All attacks to 3d6 damage. Danger Die 6 means the victim has been grasped in its beak or claws.,124,Easy,0,10,4,1,3,10/4/1/3
Satyr,Monster,"Calm, Spell: Charm","Half human, half goat. Armed with bow and short sword.",16,-,0,4,6,4,4,4/6/4/4
Screaming Fungus,Monster,,"1m tall mushrooms found in dungeons and caverns. Light or movement within 10m will cause them to shriek loudly until they are destroyed. Roll 1d6 each turn they are shrieking. For each troll of 1-3, one random moster is attracted to investigate the noise.",7,-,0,1,1,0,0,1/1/0/0
Skin Walker,Monster,Shapeshift - People,"Shapeshifter. Will assume the appearance of another person, including clothing, then try to kill them and take their place. When in their natural form, a skinwalker is a tall and skeletal, with leathery skin, long hair, and empty eyeholes.",20,-,0,3,3,3,4,3/3/3/4
Sphinx,Monster,,"Lion body, human torso. Often guarding places or things. Very smart. May negotiate, but will want money or treasure.",68,Easy,0,6,5,6,6,6/5/6/6
Tree Man,Monster,,"Anthropomorphized tree. Slow, but all attacks do 2d6 damage. Will try to pick up enemies and shake or throw them.",30,Easy,2,7,2,4,4,7/2/4/4
Troll,Monster,"Night Vision, Heightened Smell","Green, lurching, empty eyed monsters, Trolls hunt humans and others for food. Regenerate 3 HP per turn, except for damage caused by fire. Even after death, a trolls dismembered body parts will crawl towards one another and rejoin as it comes back to life. Corpse must be burned to stop regeneration.",42,Easy,0,6,5,2,2,6/5/2/2
Unicorn,Monster,"Spell: Invisibility, Teleport (L10)",Very shy horse with one horn. May only be ridden by extrememly the virtuous.,34,Easy,0,6,5,3,5,6/5/3/5
Wyvern,Monster,Poisonous (Sting),"Smaller, winged dragon with a poisonous stinger on its tail. Claw, bite attacks 2d6 damage. Tail attack 1d6, Danger Die 1 or 2 means victim falls unconcious and takes 1d6 damage for 1-6 turns.",55,Easy,0,7,1,1,3,7/1/1/3
Alamadillo,Mutant,"Heightened Smell, Natural Armor","2m tall bipedal armadillo people. Establish large, fully functional villages. A bit surly, but rational actors. They despise legmaphegs.",10,,2,5,3,3,3,5/3/3/3
Argy Bargle,Mutant,,Goose-sized parakeets that instictively love people. Sometimes kept as guard animals or pets.,8,-,-,2,5,-,4,2/5/-/4
Barrel Barney,Mutant,Darkvision,"Turtle/morray eel hybrid. The size of a Volkswagon Beetle. Shell is camoflaged. Eel neck and head shoots out 3m to attack, then whips back in.",30,Easy,3,6,6,-,3,6/6/-/3
Boogin,Mutant,Locking Jaw,"Irrational cannibalsitic humans with four arms. Boogins use primitive weapons, claws, or bite. On successful attack with Danger Die 1, the boogin has bitten the target and won't let go unless killed or given some very persuasive reason to. Bitten target takes 1d6 damage per turn until released.",12,-,0,5,4,1,3,5/4/1/3
Cooper,Mutant,Swift,Humanioid chickens. Culture is xenophobic and warlike. They use old and scavanged military gear. Not very intelligent. Very fast runners.,6,-,0,3,3,1,2,3/3/1/2
Fleegon,Mutant,Fear,"2m long dragonfly. Often in groups of 4. Will harry and nibble on anyone for 1d6-2 damage. If attacked, will use its Fear power first.",12,Hard,1,3,5,-,3,3/5/-/3
Green Venus,Mutant,Poisonous Spray,Ambulatory venus flytrap. Successful attack with Danger Die 1 or 2 means poisonous spray paralyzes target 1-3 turns. Travel in herds.,10,Easy,-,3,2,0,3,3/2/0/3
HeeHoy,Mutant,Blast: Sonic,"Huge, long-snouted hog with lots of teeth and long spindly legs. It's snort attack will stun anyone who fails an STR check for 1-3 turns. It may snort once every 4 turns. Often found in groups of 3.",20,-,0,4,3,-,3,4/3/-/3
Impossum,Mutant,Quicksand,"Horse-sized Opposum. Can turn the ground around it to quicksand and submerge or swim away, at which time it is Hard to target. ",30,Easy,0,5,4,-,3,5/4/-/3
