name,level,description
Pull,1,Visible arget object of any size is pulled toward the caster  with the strength of L men for one round.
Puppet,3,Caster totally controls target's speech.
Purify Food & Drink,1,Removes all toxins from nearby food and drink.
Push,1,Target object of any size is pushed away from the caster  with the strenght of L men for one round.
Raise Corpse,10,Dead Target rises as an undead being under contol of the caster with HP matching those while alive.
Read Mind,3,Caster can hear the surface thoughts of target individual.
Reginald,2,"A man in yellow clothing appears until end of spell. He will obey polite, safe requests."
Repel,2,Two objects become strongly repelled by one another and cannot come closer than 10'.
Resist Cold,1,Caster may ignore the effects of cold.
Resist Fire,2,Caster may ignore the effects of fire.
Restore Sanity,5,Return a character's mental health to its normal state.
Resurrect,1,Return life to a corpse. Rises with 1 HP. Useable up to one week after death.
Rose Binding,2,Rose bushes spring from the ground to hold target. 1d6 thorn damage per turn. STR check to break free.
Scry,3,The GM will answer up to L yes/no questions about a touched object.
Sculpt,4,"Targeted stone, wood, or metal object or area can be sculpted by the caster as if it were made of clay."
Seal,2,Magically seals a door or item to everyone except caster. Does not prevent the object from being broken.
SŽance,8,"A dead body will respond to L questions, in short, simple answers of no more than 5 words each."
Shell,4,Caster is impervious to conventional ranged attacks.
Shield,1,Caster gains 2 Armor Points.
Shrink,5,Caster and L touched creatures are shrunk to the size of a mouse.
Shuffle,5,"L+1 nearby creatures instantly switch places, who and where to be determined randomly."
Silence,1,Completely muffles all noise within 100m of caster.
Sleep,6,L creatures instantly fall into a light sleep.
Sorcerer's Ward,7,Targeted creature is immune to magical spells up to power level 5.
Spectral Coach,3,"A spectral carriage appears. It will carry up to 6 humanoids for up to 3 hours. Carriage moves unnaturally quickly over all terrains, including water."
Spider,1,Caster can climb surfaces like a spider.
Spring,1,A spring of fresh water appears.
Sticky,1,Target becomes extremely sticky.
Stone to Flesh,8,Returns a pertrified creature to its original state.
Storm,10,6d6 lightning damage each to L targets.
Stretch,3,"Caster's arms, legs, and neck can stretch up to L x meters."
Suffer,5,Target is incapacitated by pain.
Summon Aberration,15,Summon a randomly generated Major Xenoplanar Horror (see Bestiary section). The xenoplanar is not under the spell caster's control.
Summon Horror,5,Summon a randomly generated Xenoplanar Horror Minion (see Bestiary section). The aberration is not under the spell caster's control.
Swarm,3,Summons a swarm of flying insects under caster's control. Will blind and confuse target.
Telekinesis,3,"Caster may move items with their mind, up to weight of Lx10lbs."
Telepathy,3,L+1 targeted individuals can hear one another's thoughts over any distance.
Teleport,6,"Instantly teleports caster to a spot they can see, or a spot that is out of sight but very well known to them."
Teleport,6,Targeted object is instantly teleported from one spot to another spot on the ground up to Lx10m away.
Terraform,8,Caster may shape the terrain around them in a 100m radius.
Tether,2,Two objects become attached with an invisible cord and cannot be moved more than 10' appart.
Thicket,5,A thicket of trees and dense brush up to 15m wide instantly sprouts up around targeted spot.
Throw Voice,1,Caster can cause their voice to emanate from a spot up to 20m away.
Transparency,3,Caster can see through solid matter.
True Sight,3,Caster sees through all nearby illusions.
Truth,3,Target creature will go into a trance and truthfully answer L yes/no questions.
Uncurse,4,Removes one curse from one target.
Ventriloquism,1,Creates a sound illusion that comes from targeted spot.
Voyeur,4,Caster can see through the eyes of a creature they touched up to 12 hours earlier.
Wall of Iron,5,A wall of iron appears in targeted spot. It is up to 20m long and 10m high.
Wall of Ouch,5,"A wall of fire, ice, thorns, or wind rises from the chosen ground, 15m long and 4m high. 2d6 damage per round inside the wall."
Ward,5,"A silver circle 10m in diameter appears around targeted spot. Choose one thing that cannot enter or leave it: living creatures, dead creatures, projectiles, or metal."
Water Breathing,3,Caster can breathe underwater.
Water Way,7,Water up to 20m deep will part in a 3m radius circle around the caster.
Web,3,Caster's chosen body part can shoot thick webbing.
Wholeness,10,"Complete healing of one creature. Damage, disease, poison."
Wind Walk,10,Caster and 1 targeted creature turn to mist and can fly swiftly.
Wisp,1,Caster's body becomes living smoke.
Wizard Mark,1,"Caster's finger can spray a dayglow paint. It is visible only to the caster, and can be seen through solid objects and at any distance."
Word of Recall,12,Caster and nearby allies instantly teleport to a previously prepared location any distance away. Preparing a location involves casting Word of Recall on it ahead of time. Transport occurs from anywhere the spell is cast again.
Word of Virtue,15,2d6 targeted creatures are affected within 30m. Creatures with fewer HPs than caster's maximum die instantly. Creatures with more HPs than caster's max are paralyzed.
